Month,Severe Thinness II,Severe Thinness I,Moderate Thinness,Mild Thinness,Normal,Overweight,Obese Class I,Obese Class II,Obese Class II
61,10.793,11.77,12.748,13.891,15.244,16.87,18.858,21.34,23.821
62,10.786,11.763,12.741,13.885,15.243,16.879,18.886,21.403,23.92
63,10.78,11.757,12.734,13.881,15.243,16.889,18.915,21.468,24.02
64,10.775,11.752,12.728,13.876,15.244,16.9,18.946,21.535,24.123
65,10.77,11.746,12.723,13.872,15.245,16.911,18.977,21.603,24.23
66,10.765,11.742,12.718,13.869,15.246,16.923,19.009,21.673,24.337
67,10.761,11.737,12.714,13.866,15.249,16.936,19.042,21.745,24.448
68,10.757,11.733,12.71,13.864,15.252,16.95,19.077,21.819,24.561
69,10.754,11.73,12.706,13.863,15.255,16.964,19.112,21.895,24.678
70,10.751,11.727,12.703,13.862,15.259,16.979,19.148,21.973,24.797
71,10.749,11.725,12.701,13.862,15.264,16.995,19.185,22.051,24.917
72,10.747,11.723,12.7,13.862,15.27,17.011,19.224,22.133,25.042
73,10.745,11.722,12.699,13.863,15.276,17.029,19.264,22.217,25.17
74,10.744,11.721,12.698,13.865,15.283,17.047,19.305,22.303,25.301
75,10.744,11.721,12.699,13.867,15.291,17.067,19.347,22.391,25.435
76,10.744,11.722,12.7,13.87,15.3,17.087,19.391,22.481,25.572
77,10.745,11.723,12.701,13.874,15.31,17.108,19.436,22.574,25.712
78,10.746,11.725,12.704,13.879,15.32,17.131,19.482,22.668,25.855
79,10.748,11.727,12.707,13.885,15.331,17.154,19.529,22.766,26.002
80,10.751,11.731,12.711,13.892,15.344,17.179,19.578,22.864,26.15
81,10.754,11.735,12.716,13.899,15.357,17.204,19.628,22.966,26.304
82,10.758,11.74,12.721,13.907,15.372,17.231,19.68,23.071,26.461
83,10.762,11.745,12.728,13.916,15.387,17.259,19.734,23.178,26.621
84,10.767,11.751,12.735,13.927,15.404,17.289,19.789,23.287,26.785
85,10.773,11.758,12.743,13.938,15.421,17.319,19.845,23.399,26.953
86,10.779,11.766,12.752,13.95,15.44,17.35,19.903,23.512,27.122
87,10.786,11.774,12.762,13.963,15.459,17.383,19.963,23.629,27.296
